,threshold,tpr,fpr
0,0.0001,0.3933649289099526,0.0
1,0.0026035087719298244,0.7061611374407583,0.0
2,0.005107017543859649,0.7393364928909952,0.0
3,0.007610526315789474,0.7630331753554502,0.125
4,0.010114035087719297,0.7819905213270142,0.125
5,0.012617543859649121,0.7914691943127962,0.125
6,0.015121052631578947,0.8104265402843602,0.25
7,0.017624561403508772,0.8151658767772512,0.25
8,0.020128070175438596,0.8199052132701422,0.25
9,0.02263157894736842,0.8246445497630331,0.25
10,0.025135087719298243,0.8293838862559242,0.25
11,0.02763859649122807,0.8293838862559242,0.25
12,0.030142105263157894,0.8341232227488151,0.25
13,0.03264561403508772,0.8341232227488151,0.25
14,0.03514912280701755,0.8388625592417062,0.25
15,0.03765263157894737,0.8388625592417062,0.25
16,0.040156140350877195,0.8483412322274881,0.25
17,0.04265964912280702,0.8530805687203792,0.25
18,0.04516315789473684,0.8530805687203792,0.25
19,0.04766666666666667,0.8578199052132701,0.25
20,0.05017017543859649,0.8625592417061612,0.25
21,0.05267368421052632,0.8672985781990521,0.25
22,0.055177192982456144,0.8672985781990521,0.25
23,0.057680701754385964,0.8672985781990521,0.25
24,0.06018421052631579,0.8672985781990521,0.25
25,0.06268771929824561,0.8672985781990521,0.25
26,0.06519122807017544,0.8672985781990521,0.25
27,0.06769473684210527,0.8672985781990521,0.25
28,0.07019824561403509,0.8672985781990521,0.375
29,0.07270175438596492,0.8672985781990521,0.375
30,0.07520526315789473,0.8672985781990521,0.375
31,0.07770877192982456,0.8672985781990521,0.375
32,0.08021228070175439,0.8672985781990521,0.375
33,0.08271578947368421,0.8720379146919431,0.375
34,0.08521929824561404,0.8720379146919431,0.375
35,0.08772280701754386,0.8767772511848341,0.375
36,0.09022631578947368,0.8815165876777251,0.375
37,0.09272982456140351,0.8815165876777251,0.375
38,0.09523333333333334,0.8815165876777251,0.375
39,0.09773684210526316,0.8815165876777251,0.375
40,0.10024035087719298,0.8862559241706162,0.375
41,0.1027438596491228,0.8909952606635071,0.375
42,0.10524736842105263,0.8909952606635071,0.375
43,0.10775087719298246,0.8909952606635071,0.375
44,0.11025438596491229,0.8957345971563981,0.375
45,0.11275789473684211,0.9004739336492891,0.375
46,0.11526140350877193,0.9004739336492891,0.375
47,0.11776491228070175,0.9004739336492891,0.375
48,0.12026842105263158,0.9004739336492891,0.375
49,0.12277192982456141,0.9052132701421801,0.375
50,0.1252754385964912,0.909952606635071,0.375
51,0.12777894736842105,0.909952606635071,0.375
52,0.13028245614035086,0.909952606635071,0.375
53,0.1327859649122807,0.909952606635071,0.375
54,0.13528947368421052,0.9146919431279621,0.375
55,0.13779298245614033,0.9146919431279621,0.375
56,0.14029649122807017,0.9146919431279621,0.375
57,0.14279999999999998,0.9146919431279621,0.375
58,0.14530350877192982,0.9146919431279621,0.375
59,0.14780701754385964,0.9146919431279621,0.375
60,0.15031052631578945,0.9146919431279621,0.375
61,0.1528140350877193,0.9146919431279621,0.375
62,0.1553175438596491,0.9146919431279621,0.375
63,0.15782105263157895,0.9146919431279621,0.375
64,0.16032456140350876,0.9146919431279621,0.375
65,0.16282807017543857,0.9146919431279621,0.375
66,0.1653315789473684,0.9146919431279621,0.375
67,0.16783508771929823,0.9146919431279621,0.375
68,0.17033859649122807,0.9146919431279621,0.375
69,0.17284210526315788,0.9146919431279621,0.375
70,0.1753456140350877,0.9146919431279621,0.375
71,0.17784912280701753,0.9146919431279621,0.375
72,0.18035263157894735,0.9146919431279621,0.375
73,0.1828561403508772,0.919431279620853,0.375
74,0.185359649122807,0.919431279620853,0.375
75,0.18786315789473682,0.919431279620853,0.375
76,0.19036666666666666,0.919431279620853,0.375
77,0.19287017543859647,0.919431279620853,0.375
78,0.1953736842105263,0.919431279620853,0.375
79,0.19787719298245612,0.919431279620853,0.375
80,0.20038070175438594,0.919431279620853,0.375
81,0.20288421052631578,0.919431279620853,0.375
82,0.2053877192982456,0.9241706161137441,0.375
83,0.20789122807017543,0.9241706161137441,0.375
84,0.21039473684210525,0.9241706161137441,0.375
85,0.2128982456140351,0.9241706161137441,0.375
86,0.2154017543859649,0.9241706161137441,0.375
87,0.2179052631578947,0.9241706161137441,0.375
88,0.22040877192982455,0.9241706161137441,0.375
89,0.22291228070175437,0.9241706161137441,0.375
90,0.2254157894736842,0.9241706161137441,0.375
91,0.22791929824561402,0.9241706161137441,0.375
92,0.23042280701754383,0.9241706161137441,0.375
93,0.23292631578947368,0.9241706161137441,0.375
94,0.2354298245614035,0.9241706161137441,0.375
95,0.23793333333333333,0.9289099526066351,0.375
96,0.24043684210526314,0.9289099526066351,0.375
97,0.24294035087719296,0.9289099526066351,0.375
98,0.2454438596491228,0.9289099526066351,0.375
99,0.2479473684210526,0.933649289099526,0.375
100,0.2504508771929824,0.933649289099526,0.375
101,0.25295438596491227,0.933649289099526,0.375
102,0.2554578947368421,0.933649289099526,0.375
103,0.2579614035087719,0.933649289099526,0.375
104,0.26046491228070173,0.933649289099526,0.375
105,0.2629684210526316,0.933649289099526,0.375
106,0.2654719298245614,0.933649289099526,0.375
107,0.2679754385964912,0.933649289099526,0.375
108,0.27047894736842104,0.9383886255924171,0.375
109,0.2729824561403509,0.9383886255924171,0.375
110,0.27548596491228067,0.9383886255924171,0.375
111,0.2779894736842105,0.9383886255924171,0.375
112,0.28049298245614035,0.9383886255924171,0.375
113,0.28299649122807014,0.9383886255924171,0.375
114,0.2855,0.9383886255924171,0.375
115,0.2880035087719298,0.9383886255924171,0.375
116,0.29050701754385966,0.9383886255924171,0.375
