TCR_id,labels,preds
14296,0,0.24092704057693481
14625,0,0.14232388138771057
15545,0,0.12683504819869995
13936,0,0.1612531840801239
14447,0,0.09318941831588745
1315,1,0.9704513549804688
13999,0,0.02827465534210205
15490,0,0.24811449646949768
1042,1,0.6007183194160461
1092,1,0.5410184264183044
14267,0,0.4487600326538086
14155,0,0.20437276363372803
1466,1,0.23379668593406677
1191,1,0.9886305332183838
15339,0,0.23757925629615784
1288,1,0.7808136940002441
14454,0,0.03969964385032654
15121,0,0.10791441798210144
1738,1,0.961196780204773
1411,1,0.5160725116729736
13890,0,0.07036253809928894
15164,0,0.24988305568695068
1321,1,0.9101381897926331
14859,0,0.7888903617858887
15491,0,0.32903599739074707
13899,0,0.35723644495010376
1100,1,0.5835118889808655
13738,0,0.25021952390670776
14471,0,0.06727683544158936
14088,0,0.3166716992855072
14681,0,0.9238250255584717
1899,1,0.9427535533905029
1363,1,0.6964633464813232
13915,0,0.2522454261779785
13776,0,0.2539224922657013
15222,0,0.05993720889091492
1520,1,0.958706796169281
1031,1,0.970309317111969
15346,0,0.05963173508644104
1489,1,0.8885869979858398
1938,1,0.48107993602752686
1478,1,0.8185329437255859
14409,0,0.03276744484901428
15078,0,0.023400336503982544
14743,0,0.8332227468490601
1502,1,0.966167688369751
13921,0,0.8658915758132935
15175,0,0.1686650514602661
14714,0,0.13629987835884094
15581,0,0.15859904885292053
1988,1,0.7208503484725952
15011,0,0.015457391738891602
13840,0,0.4759017825126648
15557,0,0.03620550036430359
1174,1,0.26455801725387573
14575,0,0.2889670133590698
1848,1,0.6344685554504395
15216,0,0.009796589612960815
14416,0,0.008722305297851562
13743,0,0.0767909586429596
14568,0,0.3863255977630615
14043,0,0.22212308645248413
15265,0,0.04081159830093384
15405,0,0.5910155177116394
14472,0,0.173295259475708
15419,0,0.33486199378967285
14975,0,0.03986632823944092
14278,0,0.8435624837875366
1866,1,0.9696037769317627
14275,0,0.02738824486732483
14398,0,0.143568754196167
14572,0,0.11417284607887268
15503,0,0.0945342481136322
14894,0,0.6149526834487915
1301,1,0.6864768862724304
15584,0,0.07400920987129211
1352,1,0.9387059807777405
1284,1,0.9461947679519653
1712,1,0.6813809871673584
1861,1,0.9751875400543213
14749,0,0.525426983833313
1070,1,0.9771147966384888
1347,1,0.48779407143592834
14612,0,0.3133506178855896
1765,1,0.7800559401512146
15475,0,0.09541097283363342
14252,0,0.3939396142959595
14279,0,0.14468029141426086
14980,0,0.010004401206970215
13817,0,0.4337366819381714
15310,0,0.18659526109695435
1198,1,0.9140893816947937
14298,0,0.03310433030128479
13895,0,0.9447634220123291
15291,0,0.31902968883514404
13967,0,0.029376327991485596
15393,0,0.7125771045684814
14369,0,0.05566743016242981
14848,0,0.28927135467529297
15363,0,0.23664045333862305
14001,0,0.061206549406051636
14321,0,0.04434007406234741
14318,0,0.04654806852340698
14657,0,0.11174029111862183
14533,0,0.2723500430583954
1096,1,0.7292858362197876
14699,0,0.006590127944946289
15542,0,0.32759058475494385
14754,0,0.8350542187690735
15331,0,0.1269734501838684
1503,1,0.965744137763977
15173,0,0.24869585037231445
1262,1,0.4241897761821747
14537,0,0.08177196979522705
15035,0,0.31538310647010803
14676,0,0.9338915944099426
1041,1,0.9894928932189941
14498,0,0.05200091004371643
15327,0,0.16639825701713562
1507,1,0.9843277335166931
15369,0,0.44656994938850403
15090,0,0.32287997007369995
1920,1,0.9310016632080078
14493,0,0.06976056098937988
14244,0,0.41622963547706604
15126,0,0.04792484641075134
14259,0,0.051518410444259644
15186,0,0.011612176895141602
13824,0,0.031066864728927612
14190,0,0.21148338913917542
15380,0,0.06573352217674255
14620,0,0.2889755964279175
14087,0,0.018944591283798218
14752,0,0.5446048974990845
14741,0,0.47248774766921997
14208,0,0.28135615587234497
14226,0,0.3779350519180298
13855,0,0.05454456806182861
15325,0,0.044304341077804565
1731,1,0.8818628787994385
15270,0,0.7168831825256348
1311,1,0.8180845379829407
15551,0,0.7199283242225647
1437,1,0.974389910697937
15436,0,0.20411139726638794
13653,0,0.020125478506088257
14974,0,0.025635212659835815
14068,0,0.13442841172218323
1098,1,0.7924138307571411
14035,0,0.5906319618225098
15485,0,0.10311892628669739
14191,0,0.12256458401679993
1099,1,0.3758406341075897
1091,1,0.5536975860595703
1160,1,0.867893636226654
15273,0,0.029976218938827515
13828,0,0.35899263620376587
1708,1,0.7889057397842407
14277,0,0.061984866857528687
13947,0,0.07891666889190674
14580,0,0.05559864640235901
13893,0,0.2011486291885376
1612,1,0.9610863924026489
14981,0,0.07140743732452393
1157,1,0.945875883102417
15349,0,0.3301159739494324
1687,1,0.9779914021492004
14082,0,0.09916242957115173
15484,0,0.2705003023147583
13835,0,0.325344979763031
13787,0,0.11659547686576843
15483,0,0.2727816700935364
14729,0,0.07104074954986572
15247,0,0.9861560463905334
1792,1,0.962792158126831
15159,0,0.012097269296646118
1652,1,0.9796065092086792
14297,0,0.42155787348747253
14688,0,0.07456135749816895
1751,1,0.9663885235786438
1063,1,0.9866297245025635
14910,0,0.15222853422164917
13806,0,0.020581871271133423
13949,0,0.38347873091697693
14985,0,0.07414790987968445
1468,1,0.44667381048202515
14294,0,0.3475372791290283
15184,0,0.05105295777320862
14201,0,0.20752769708633423
14417,0,0.013036757707595825
14524,0,0.12814843654632568
13900,0,0.718040943145752
14722,0,0.2355809211730957
13644,0,0.41672828793525696
14586,0,0.05430269241333008
1833,1,0.4909265339374542
15068,0,0.019503682851791382
15251,0,0.5069412589073181
1760,1,0.828997015953064
15398,0,0.4104856252670288
13798,0,0.0065686702728271484
15554,0,0.04773467779159546
15428,0,0.2151423692703247
14186,0,0.033715128898620605
13860,0,0.49331697821617126
15334,0,0.2424507737159729
14775,0,0.3069505989551544
15286,0,0.498776912689209
15372,0,0.8959878087043762
14300,0,0.5253362059593201
14491,0,0.009069859981536865
14542,0,0.16638252139091492
1323,1,0.42568933963775635
1357,1,0.2039475440979004
14797,0,0.21788239479064941
14040,0,0.21673527359962463
14445,0,0.026581496000289917
15071,0,0.008645683526992798
1655,1,0.8388558626174927
13864,0,0.2472270131111145
14072,0,0.01474606990814209
14672,0,0.07991841435432434
15580,0,0.0780404806137085
14113,0,0.32183295488357544
15051,0,0.01806873083114624
14556,0,0.3178699314594269
15239,0,0.08773502707481384
15562,0,0.17415353655815125
1082,1,0.6268594264984131
15192,0,0.036199748516082764
14324,0,0.03406456112861633
15418,0,0.3636229634284973
14605,0,0.2449493706226349
14644,0,0.15638595819473267
1774,1,0.7077792882919312
14748,0,0.8176426887512207
15285,0,0.4493114650249481
1327,1,0.9286677241325378
1956,1,0.4013344347476959
14640,0,0.12625044584274292
14036,0,0.9084542989730835
15103,0,0.05275315046310425
1606,1,0.9799214005470276
15069,0,0.15548056364059448
14611,0,0.11664915084838867
14058,0,0.16321003437042236
14785,0,0.44390907883644104
13935,0,0.830240786075592
14649,0,0.054882943630218506
15259,0,0.03783220052719116
15181,0,0.11166602373123169
13873,0,0.0658470094203949
1570,1,0.9797372221946716
15107,0,0.017335087060928345
15156,0,0.08742821216583252
14709,0,0.48455074429512024
14004,0,0.2782973647117615
1341,1,0.3007711172103882
14317,0,0.34086379408836365
13795,0,0.2532702088356018
14041,0,0.2983815670013428
1097,1,0.7836911678314209
14604,0,0.6236464381217957
1627,1,0.9341002106666565
14169,0,0.2828933298587799
13941,0,0.2197524607181549
14102,0,0.34744906425476074
15197,0,0.15880745649337769
13672,0,0.33051520586013794
15509,0,0.3609711229801178
15279,0,0.07370126247406006
15077,0,0.20355436205863953
15529,0,0.46084195375442505
15290,0,0.580917239189148
13962,0,0.06503671407699585
13978,0,0.022461920976638794
14200,0,0.02108752727508545
15113,0,0.016941219568252563
15205,0,0.02608010172843933
15138,0,0.10071289539337158
14034,0,0.07027110457420349
14084,0,0.12188407778739929
15117,0,0.019445210695266724
1261,1,0.5288755297660828
14066,0,0.17397674918174744
14950,0,0.007063537836074829
14983,0,0.03447192907333374
13886,0,0.05833151936531067
13816,0,0.7481409311294556
14758,0,0.7605029344558716
14976,0,0.16822302341461182
14173,0,0.19010227918624878
15303,0,0.24604147672653198
1505,1,0.9747651815414429
13692,0,0.027977049350738525
1272,1,0.9900007843971252
15202,0,0.06184008717536926
14853,0,0.15669938921928406
13797,0,0.009342700242996216
14778,0,0.7962281703948975
14687,0,0.5912456512451172
14019,0,0.02232539653778076
14230,0,0.4315187931060791
14559,0,0.03331136703491211
15437,0,0.18896391987800598
14665,0,0.28764358162879944
14706,0,0.39081576466560364
1576,1,0.9340718984603882
13846,0,0.16775670647621155
1386,1,0.7029940485954285
14755,0,0.8993692994117737
15435,0,0.10006695985794067
15033,0,0.00908130407333374
13984,0,0.2961714267730713
1682,1,0.967452883720398
1669,1,0.8304215669631958
1147,1,0.9389159083366394
14789,0,0.652916669845581
14808,0,0.15670379996299744
14725,0,0.8477087020874023
15134,0,0.014024615287780762
1791,1,0.8589928150177002
15225,0,0.0072370171546936035
15450,0,0.03998640179634094
14995,0,0.031990230083465576
1934,1,0.6095983386039734
14268,0,0.26339417695999146
1328,1,0.9581831693649292
13952,0,0.052710384130477905
14093,0,0.599419355392456
14032,0,0.3080298900604248
13938,0,0.04574209451675415
14683,0,0.0716000497341156
1206,1,0.4073804020881653
15249,0,0.8737708926200867
14347,0,0.15332025289535522
14996,0,0.012159883975982666
14100,0,0.1285608410835266
1450,1,0.9895084500312805
14050,0,0.008542180061340332
13977,0,0.015730828046798706
14382,0,0.20272040367126465
14518,0,0.0512542724609375
1124,1,0.9174553155899048
14956,0,0.03750079870223999
13986,0,0.6701692342758179
15371,0,0.34259113669395447
15127,0,0.10915279388427734
15351,0,0.357461154460907
1382,1,0.3479846715927124
1916,1,0.9818023443222046
1692,1,0.6581211090087891
14028,0,0.5471322536468506
1362,1,0.8123011589050293
15218,0,0.06511163711547852
14962,0,0.024111062288284302
14461,0,0.03757619857788086
1045,1,0.9878883361816406
14940,0,0.024840891361236572
1061,1,0.9016239047050476
14514,0,0.05718475580215454
1889,1,0.8100111484527588
13760,0,0.08836078643798828
15168,0,0.06353098154067993
1551,1,0.9710161685943604
15338,0,0.18267378211021423
15150,0,0.13563290238380432
1378,1,0.188789963722229
14408,0,0.12405914068222046
1631,1,0.9375373125076294
14705,0,0.12860363721847534
1887,1,0.926336407661438
1945,1,0.784377932548523
14698,0,0.72297203540802
14777,0,0.8886064887046814
13961,0,0.3889303207397461
13813,0,0.22765126824378967
1668,1,0.7266695499420166
15250,0,0.05191203951835632
14175,0,0.12341463565826416
15340,0,0.36116576194763184
13927,0,0.3182165026664734
15125,0,0.06625422835350037
2007,1,0.9837144613265991
1113,1,0.9734604358673096
14451,0,0.09467297792434692
14982,0,0.013423502445220947
13883,0,0.1323663890361786
14370,0,0.041822463274002075
1333,1,0.49171698093414307
15097,0,0.08085054159164429
14595,0,0.06581449508666992
14189,0,0.04390871524810791
1695,1,0.8789021968841553
15283,0,0.03705671429634094
1439,1,0.8946805596351624
13778,0,0.3801532983779907
14305,0,0.025989681482315063
1090,1,0.4959692060947418
14807,0,0.018515735864639282
1399,1,0.7756071090698242
