TCR_id,labels,preds
1061,1,0.9907259941101074
1180,1,0.9526408910751343
1778,1,0.9994152188301086
1747,1,0.997566282749176
15279,0,0.008164852857589722
14593,0,0.00042575597763061523
15561,0,0.024637967348098755
14281,0,0.007406741380691528
14113,0,0.0008344650268554688
14347,0,0.007128208875656128
14291,0,0.0006038844585418701
14895,0,0.022477656602859497
14403,0,0.03424489498138428
14541,0,0.011081039905548096
15305,0,0.02500253915786743
14981,0,0.00018715858459472656
13685,0,0.001798093318939209
14204,0,0.008586853742599487
15331,0,0.01185762882232666
1706,1,0.9910305738449097
1294,1,0.9971562027931213
1078,1,0.9981076717376709
14033,0,0.00608217716217041
14319,0,0.018906474113464355
14165,0,0.002861917018890381
13666,0,0.043641865253448486
14663,0,0.05118146538734436
13759,0,0.0005731284618377686
15162,0,0.09929424524307251
1352,1,0.9978728294372559
14200,0,1.3170731108402833e-05
14595,0,2.2387999706552364e-05
15099,0,0.00016310811042785645
14624,0,0.001228630542755127
1526,1,0.9991278648376465
1512,1,0.9986366033554077
1199,1,0.9801540970802307
14954,0,0.0025724172592163086
13975,0,0.0007307827472686768
14390,0,0.02225133776664734
14409,0,0.055094897747039795
14955,0,7.664984150324017e-05
1642,1,0.9897693395614624
14311,0,0.006867349147796631
14264,0,0.0016562938690185547
13687,0,1.4132436263025738e-05
1793,1,0.9998946189880371
15139,0,0.010488301515579224
1386,1,0.9985549449920654
14848,0,0.0015835762023925781
14108,0,0.019335925579071045
14617,0,0.0029428601264953613
14010,0,0.00012370944023132324
13955,0,0.0001698136329650879
1845,1,0.9990823864936829
1665,1,0.993712306022644
14449,0,0.005205780267715454
13967,0,0.00013938546180725098
14654,0,0.13546380400657654
15017,0,0.0012356936931610107
15095,0,0.00043642520904541016
1611,1,0.9940880537033081
13887,0,0.0008710920810699463
13855,0,0.005572229623794556
13718,0,0.0003313422203063965
14470,0,0.0037653446197509766
1917,1,0.9987521767616272
14620,0,0.06816396117210388
14367,0,0.0011823773384094238
15071,0,0.0023134052753448486
15076,0,9.864624007605016e-05
14273,0,0.0010283291339874268
15582,0,0.011569887399673462
14254,0,2.7345358830643818e-05
13776,0,0.006346613168716431
13971,0,0.017811834812164307
15453,0,0.0005221962928771973
1991,1,0.9989200830459595
2053,1,0.9993350505828857
14410,0,0.027940332889556885
14159,0,2.4993737497425172e-06
1697,1,0.9785908460617065
1762,1,0.9985145330429077
14690,0,0.009647488594055176
15557,0,4.4895190512761474e-05
1155,1,0.9999475479125977
15198,0,0.0009379386901855469
15249,0,0.007349193096160889
13902,0,0.00860026478767395
1316,1,0.9960869550704956
1221,1,0.9961979389190674
14574,0,0.00012809038162231445
